Ticket_ID,Customer_ID,Account_ID,Loan_ID,Branch_Name,Issue_Category,Description,Date_Opened,Date_Closed,Priority,Status,Resolution_Remarks,Support_Agent,Channel,Customer_Rating
T00031,C0418,A0635,297,Robinson-Stokes Branch,UPI Payment Failed,Customer reported upi payment failed.,2020-02-29,2020-03-27,Low,In Progress,Card replaced and activated.,Niharika Aggarwal,In-person,1
T00032,C0101,A4574,,"Taylor, Mckay and Orozco Branch",Online Transfer Failed,System detected online transfer failed.,2019-06-26,2019-07-23,Low,Open,Escalated to technical team.,Chanakya Natt,In-person,1
T00033,C0230,A1777,549,Rodriguez LLC Branch,EMI Auto-debit Failed,System detected emi auto-debit failed.,2023-10-27,2023-11-16,Low,Escalated,Issue resolved successfully.,Udyati Mody,Phone,3
T00034,C0143,A7067,,Smith PLC Branch,Mismatch in Account Statement,Customer reported mismatch in account statement.,2018-09-14,2018-10-06,High,Closed,Escalated to technical team.,Gaurika Pillay,Mobile App,3
T00035,C0153,A6593,,Bright Inc Branch,Loan Foreclosure,Client raised loan foreclosure.,2017-02-24,2017-03-09,Medium,Closed,Loan schedule updated.,Rehaan Balakrishnan,Mobile App,5
T00036,C0174,A0007,234,Rogers Group Branch,Loan Foreclosure,System detected loan foreclosure.,2019-10-27,2019-11-16,Critical,Escalated,Card replaced and activated.,Gaurika Pillay,Phone,5
T00037,C0420,A7753,,"Mack, Mcmillan and Campbell Branch",Debit Card Delivery Delay,System detected debit card delivery delay.,2018-03-08,2018-03-29,Low,In Progress,KYC documents verified.,Rehaan Balakrishnan,Phone,2
T00038,C0451,A2415,234,Gonzalez-Martin Branch,Loan Payment Delay,System detected loan payment delay.,2020-04-30,2020-05-25,Critical,Closed,Pending customer verification.,Gabriel Mutti,Mobile App,4
T00039,C0045,A6548,339,Woodward LLC Branch,Mismatch in Account Statement,Customer reported mismatch in account statement.,2022-09-17,2022-10-12,Critical,In Progress,Pending customer verification.,Aarnav Sangha,Mobile App,1
T00040,C0177,A9133,,Moore-Hodges Branch,Account Frozen,Client raised account frozen.,2016-05-12,2016-06-07,High,Escalated,Loan schedule updated.,Advik Bhagat,Mobile App,5
T00041,C0140,A7306,,"Woods, Patterson and Owens Branch",Account Access Issue,Client raised account access issue.,2020-04-28,2020-05-23,High,Closed,Card replaced and activated.,Wriddhish Sarraf,Phone,3
T00042,C0163,A7207,,Fisher Ltd Branch,Account Closure Request,Client raised account closure request.,2017-08-18,2017-08-29,Low,In Progress,Pending customer verification.,Harish Anne,Mobile App,2
T00043,C0077,A3506,,Stewart-Jones Branch,Card Not Working,Customer reported card not working.,2018-09-17,2018-10-01,Critical,Escalated,Refund processed.,Owen Mahajan,Email,5
T00044,C0392,A6233,118,Johnson-Hunter Branch,Mismatch in Account Statement,System detected mismatch in account statement.,2018-12-11,2018-12-24,Medium,Escalated,Pending customer verification.,Wishi Chhabra,Mobile App,4
T00045,C0449,A0476,231,Smith Ltd Branch,Unauthorized Transaction,Customer reported unauthorized transaction.,2022-08-13,2022-09-06,Low,Escalated,Loan schedule updated.,Owen Mahajan,Email,1
T00046,C0221,A7023,,Wolf-Rollins Branch,Interest Rate Dispute,Customer reported interest rate dispute.,2017-01-14,2017-01-27,Critical,Resolved,Escalated to technical team.,Kashvi Doctor,Mobile App,3
T00047,C0276,A6907,,Williamson-Hubbard Branch,Card Not Working,System detected card not working.,2020-04-10,2020-04-28,Medium,Open,Refund processed.,Wriddhish Sarraf,Email,1
T00048,C0443,A4052,,"Peters, Mercer and Floyd Branch",Account Frozen,Client raised account frozen.,2021-12-19,2021-12-24,Low,Closed,Pending customer verification.,Bhavya Dutta,In-person,3
T00049,C0371,A2750,,"Schroeder, Lane and Arnold Branch",Loan Payment Delay,Client raised loan payment delay.,2016-11-01,,Low,Resolved,Loan schedule updated.,Gaurika Pillay,Mobile App,4
T00050,C0325,A3250,,"Hernandez, Stewart and Lee Branch",UPI Payment Failed,System detected upi payment failed.,2022-01-13,2022-02-05,Low,Closed,Refund processed.,Leena Apte,In-person,5
T00051,C0138,A7019,392,Sullivan and Sons Branch,KYC Update Required,Customer reported kyc update required.,2022-04-06,2022-05-04,Critical,Resolved,KYC documents verified.,Triya Mukhopadhyay,Mobile App,2
T00052,C0437,A7136,,"Wilkinson, Norris and Johnson Branch",Account Closure Request,Client raised account closure request.,2022-04-18,2022-05-14,Critical,Escalated,Card replaced and activated.,Advik Bhagat,In-person,3
T00053,C0304,A4023,393,Johnson and Sons Branch,Debit Card Delivery Delay,System detected debit card delivery delay.,2020-01-21,2020-02-05,High,Open,Card replaced and activated.,Wriddhish Mangal,In-person,2
T00054,C0220,A7989,199,"Lee, Escobar and Torres Branch",Debit Card Delivery Delay,System detected debit card delivery delay.,2017-11-24,2017-12-23,Low,Closed,Pending customer verification.,Chaitaly Vaidya,Phone,4
T00055,C0167,A8005,,Evans Ltd Branch,UPI Payment Failed,Customer reported upi payment failed.,2022-03-30,2022-04-14,Low,Resolved,Pending customer verification.,Upkaar Bava,Phone,3
T00056,C0085,A9529,,Richardson-Griffith Branch,Online Transfer Failed,System detected online transfer failed.,2020-12-14,2021-01-07,High,Escalated,Escalated to technical team.,Rehaan Balakrishnan,In-person,2
T00057,C0228,A1977,424,"Marquez, Reese and Dawson Branch",EMI Auto-debit Failed,Client raised emi auto-debit failed.,2023-05-01,2023-05-26,Critical,Resolved,KYC documents verified.,Owen Mahajan,In-person,1
T00058,C0425,A3181,256,"Johnson, Arias and Kramer Branch",Loan Payment Delay,Customer reported loan payment delay.,2017-01-04,2017-01-27,High,In Progress,KYC documents verified.,Wriddhish Mangal,Mobile App,1
T00059,C0105,A0201,,Gutierrez PLC Branch,Cheque Bounce,System detected cheque bounce.,2019-12-10,2019-12-12,Low,Open,Card replaced and activated.,Veda Samra,Email,5
T00060,C0052,A0879,334,"Finley, Wolf and Carter Branch",Loan Payment Delay,Customer reported loan payment delay.,2021-04-24,,Low,Closed,Refund processed.,Lavanya Hans,Phone,5
T00061,C0354,A6233,,"Moore, Brown and Brown Branch",KYC Update Required,System detected kyc update required.,2018-05-02,,Low,Closed,KYC documents verified.,Ekanta Devan,Phone,2
T00062,C0106,A4336,423,Johnson Group Branch,Interest Rate Dispute,System detected interest rate dispute.,2016-12-12,2016-12-18,Low,In Progress,Escalated to technical team.,Gabriel Mutti,In-person,4
T00063,C0050,A1167,,Velez LLC Branch,Loan Foreclosure,Customer reported loan foreclosure.,2023-11-01,2023-11-20,Critical,Open,Loan schedule updated.,Harish Anne,Phone,3
T00064,C0370,A2331,43,Duncan Group Branch,Loan Foreclosure,System detected loan foreclosure.,2023-11-21,2023-12-15,Low,Escalated,KYC documents verified.,Rehaan Balakrishnan,Mobile App,3
T00065,C0343,A8200,,Nelson Ltd Branch,EMI Auto-debit Failed,System detected emi auto-debit failed.,2021-09-15,2021-09-29,High,Open,Issue resolved successfully.,Harish Anne,Email,3
T00066,C0002,A9442,,Garcia Group Branch,Account Frozen,System detected account frozen.,2016-12-18,2017-01-08,Medium,Closed,Card replaced and activated.,Wriddhish Sarraf,Mobile App,1
T00067,C0034,A7701,,Chang-Lucas Branch,Unauthorized Transaction,System detected unauthorized transaction.,2018-08-08,2018-09-05,Critical,Escalated,Escalated to technical team.,Gaurika Pillay,Mobile App,5
T00068,C0406,A0602,343,Clark Inc Branch,KYC Update Required,Customer reported kyc update required.,2017-10-30,2017-11-24,Critical,Escalated,Issue resolved successfully.,Kalpit Ahuja,In-person,5
T00069,C0182,A8168,,Aguirre Group Branch,Account Closure Request,System detected account closure request.,2017-04-13,2017-04-18,Critical,Escalated,Issue resolved successfully.,Ria Ghose,Phone,2
T00070,C0343,A5092,,"Allen, Church and Cook Branch",Account Closure Request,Customer reported account closure request.,2016-01-17,2016-02-13,Critical,Open,KYC documents verified.,Advik Bhagat,Phone,4
T00071,C0232,A4782,,"Malone, Stewart and Stephens Branch",Account Access Issue,System detected account access issue.,2020-05-30,,Medium,Escalated,Pending customer verification.,Ikbal Sidhu,Phone,1
T00072,C0300,A4527,429,Vega-Valentine Branch,Loan Foreclosure,Client raised loan foreclosure.,2023-11-01,2023-11-28,Critical,In Progress,Card replaced and activated.,Falguni Bhandari,Mobile App,3
T00073,C0159,A5447,,Massey-Reed Branch,EMI Auto-debit Failed,Customer reported emi auto-debit failed.,2018-08-11,,Critical,In Progress,Refund processed.,Kashvi Doctor,Mobile App,1
T00074,C0434,A5214,,Mullen-Obrien Branch,UPI Payment Failed,Client raised upi payment failed.,2019-04-11,2019-05-03,Medium,Escalated,Issue resolved successfully.,Ranveer Roy,In-person,1
T00075,C0173,A7214,,Warner-Shelton Branch,KYC Update Required,Client raised kyc update required.,2020-02-15,2020-02-20,Medium,Open,Card replaced and activated.,Aarnav Sangha,In-person,3
T00076,C0378,A6513,,Weaver-Brown Branch,KYC Update Required,System detected kyc update required.,2022-07-25,,Critical,Closed,Issue resolved successfully.,Vansha Sood,Email,2
T00077,C0190,A4709,,Mcbride and Sons Branch,UPI Payment Failed,Client raised upi payment failed.,2019-11-13,,Low,Escalated,Pending customer verification.,Gabriel Mutti,In-person,1
T00078,C0249,A0754,,"Solis, Simpson and Martin Branch",Unauthorized Transaction,Customer reported unauthorized transaction.,2018-04-16,2018-04-30,Critical,Closed,KYC documents verified.,Aarnav Sangha,Phone,2
T00079,C0129,A2869,,"Nguyen, Skinner and Le Branch",Account Frozen,Client raised account frozen.,2019-04-16,2019-04-24,Medium,In Progress,Card replaced and activated.,Wriddhish Sarraf,In-person,4
T00080,C0427,A4184,,"Williams, Johnson and Williams Branch",Loan Foreclosure,Client raised loan foreclosure.,2020-03-20,,Medium,Open,Card replaced and activated.,Ekani Oza,In-person,4
T00081,C0408,A4098,,"Austin, Rogers and Ayala Branch",Mismatch in Account Statement,System detected mismatch in account statement.,2017-03-26,,Low,In Progress,Card replaced and activated.,Owen Mahajan,In-person,5
T00082,C0107,A4848,98,Bright Inc Branch,Debit Card Delivery Delay,Client raised debit card delivery delay.,2022-05-20,2022-05-21,Low,Closed,KYC documents verified.,Veda Samra,In-person,2
T00083,C0332,A9947,541,Douglas and Sons Branch,UPI Payment Failed,Client raised upi payment failed.,2017-02-17,2017-03-11,Medium,Open,KYC documents verified.,Wriddhish Sarraf,Email,3
T00084,C0427,A7223,,"Taylor, Hopkins and Morales Branch",Cheque Bounce,System detected cheque bounce.,2023-03-19,2023-04-18,Critical,In Progress,Pending customer verification.,Ranveer Roy,In-person,5
T00085,C0031,A8222,,"Malone, Stewart and Stephens Branch",Account Frozen,System detected account frozen.,2017-11-18,,High,Open,Card replaced and activated.,Chaitaly Vaidya,Phone,2
T00086,C0380,A6512,404,Hanson-Carter Branch,Loan Payment Delay,System detected loan payment delay.,2019-06-05,2019-06-23,High,Resolved,Loan schedule updated.,Upkaar Bava,In-person,1
T00087,C0260,A3831,61,"Burns, Patterson and White Branch",Account Access Issue,Client raised account access issue.,2021-04-18,2021-05-08,Critical,Resolved,KYC documents verified.,Lavanya Hans,Email,2
T00088,C0216,A0743,544,Thomas LLC Branch,Interest Rate Dispute,System detected interest rate dispute.,2020-07-10,2020-07-18,High,Closed,Card replaced and activated.,Owen Mahajan,Phone,4
T00089,C0358,A1623,,Peters PLC Branch,Account Access Issue,System detected account access issue.,2018-02-19,2018-03-03,Critical,In Progress,Refund processed.,Ekani Oza,Email,3
T00090,C0147,A8921,208,"Holmes, Harrell and Woods Branch",Mismatch in Account Statement,Customer reported mismatch in account statement.,2018-02-04,2018-02-08,Medium,Closed,Issue resolved successfully.,Leena Apte,In-person,2
T00091,C0039,A2064,436,Bell PLC Branch,Account Access Issue,Customer reported account access issue.,2023-08-01,2023-08-20,High,In Progress,Refund processed.,Triya Mukhopadhyay,Email,3
T00092,C0165,A2371,,Jones-Baker Branch,Mismatch in Account Statement,Customer reported mismatch in account statement.,2023-12-15,2024-01-06,Medium,Open,Escalated to technical team.,Aarnav Sangha,Phone,5
T00093,C0292,A5305,513,Wolf-Harmon Branch,Loan Payment Delay,System detected loan payment delay.,2015-08-03,2015-08-17,Critical,Resolved,Loan schedule updated.,Owen Mahajan,Email,4
T00094,C0219,A8255,,"Miller, Baker and Owen Branch",Mismatch in Account Statement,Client raised mismatch in account statement.,2015-06-27,2015-07-27,High,Escalated,KYC documents verified.,Ria Ghose,Email,4
T00095,C0030,A6581,,Daniel-Dunn Branch,Loan Payment Delay,Customer reported loan payment delay.,2020-07-01,2020-07-16,High,Closed,Pending customer verification.,Chaitaly Vaidya,Phone,3
T00096,C0458,A9591,102,"Solis, Simpson and Martin Branch",Online Transfer Failed,Customer reported online transfer failed.,2021-09-12,2021-09-27,Low,Closed,KYC documents verified.,Wriddhish Mangal,Phone,4
T00097,C0333,A7399,,"Miles, Patterson and Murray Branch",Loan Payment Delay,System detected loan payment delay.,2020-02-01,2020-02-25,Critical,Resolved,KYC documents verified.,Wishi Chhabra,In-person,2
T00098,C0152,A7771,512,"Horne, Gomez and Zavala Branch",EMI Auto-debit Failed,Customer reported emi auto-debit failed.,2015-12-16,2015-12-20,Low,Closed,Loan schedule updated.,Falguni Bhandari,In-person,1
T00099,C0246,A6731,,Tapia-Flynn Branch,EMI Auto-debit Failed,Customer reported emi auto-debit failed.,2023-06-01,2023-07-01,High,Closed,Escalated to technical team.,Ekani Oza,Email,5
T00100,C0051,A8314,407,"Lee, Escobar and Torres Branch",Interest Rate Dispute,System detected interest rate dispute.,2020-05-29,2020-06-02,Low,Resolved,Loan schedule updated.,Harish Anne,Mobile App,5
T00101,C0415,A9122,,Wood-Bell Branch,Cheque Bounce,Customer reported cheque bounce.,2022-05-18,,Medium,Resolved,KYC documents verified.,Kashvi Doctor,In-person,3
T00102,C0408,A5752,431,"Taylor, David and Brown Branch",Loan Payment Delay,Customer reported loan payment delay.,2016-08-09,2016-08-22,Low,Open,KYC documents verified.,Udyati Mody,Phone,4
T00103,C0341,A6879,101,Hartman and Sons Branch,UPI Payment Failed,Client raised upi payment failed.,2019-02-24,2019-03-07,Low,Open,Pending customer verification.,Chanakya Natt,Email,1
T00104,C0491,A4459,,Roberts PLC Branch,Cheque Bounce,Customer reported cheque bounce.,2020-06-12,2020-06-26,Low,Resolved,Card replaced and activated.,Ekanta Devan,In-person,5
T00105,C0240,A7973,477,"Warren, Tanner and Combs Branch",Loan Foreclosure,Customer reported loan foreclosure.,2019-06-07,,Medium,Resolved,Escalated to technical team.,Niharika Aggarwal,Email,1
T00106,C0055,A8150,461,"Jenkins, Chambers and Williams Branch",Loan Foreclosure,Customer reported loan foreclosure.,2019-04-07,2019-04-15,Critical,Open,Card replaced and activated.,Ria Ghose,Mobile App,1
T00107,C0131,A5130,,Mckee-Moore Branch,Loan Payment Delay,System detected loan payment delay.,2022-12-16,2022-12-26,Low,Resolved,Pending customer verification.,Aarnav Sangha,Mobile App,3
T00108,C0300,A1444,,Stevens PLC Branch,Online Transfer Failed,Customer reported online transfer failed.,2017-09-23,2017-10-06,Critical,Resolved,KYC documents verified.,Niharika Aggarwal,Phone,3
T00109,C0100,A2755,,Gutierrez-Nolan Branch,Account Closure Request,System detected account closure request.,2016-04-12,2016-04-19,High,In Progress,Pending customer verification.,Ekanta Devan,Phone,3
T00110,C0195,A3233,,Ramirez-Brown Branch,Unauthorized Transaction,Client raised unauthorized transaction.,2023-07-11,2023-07-14,Critical,Escalated,Refund processed.,Owen Mahajan,Mobile App,5
T00111,C0431,A5296,180,"Edwards, Dunlap and Fernandez Branch",Cheque Bounce,Client raised cheque bounce.,2015-10-07,2015-10-28,Low,Resolved,Loan schedule updated.,Chaitaly Vaidya,In-person,4
T00112,C0058,A7405,289,Thomas LLC Branch,Interest Rate Dispute,System detected interest rate dispute.,2018-03-21,2018-04-18,Low,Escalated,Refund processed.,Owen Mahajan,Phone,3
T00113,C0193,A9913,,Simmons and Sons Branch,Account Closure Request,System detected account closure request.,2015-09-11,2015-10-07,Low,Closed,KYC documents verified.,Chanakya Natt,Email,2
T00114,C0018,A7173,,Sanchez-Montes Branch,Account Closure Request,System detected account closure request.,2021-11-02,2021-11-14,Critical,Escalated,Refund processed.,Niharika Aggarwal,Email,3
T00115,C0411,A1080,90,Orozco PLC Branch,EMI Auto-debit Failed,Client raised emi auto-debit failed.,2022-08-10,2022-08-19,Medium,Resolved,Issue resolved successfully.,Owen Mahajan,Phone,3
T00116,C0195,A5083,553,"Morrison, Morrison and Camacho Branch",Loan Foreclosure,Customer reported loan foreclosure.,2022-12-13,,Low,Escalated,Loan schedule updated.,Ekani Oza,Email,3
T00117,C0070,A5061,,Harris Ltd Branch,Account Frozen,Customer reported account frozen.,2018-10-31,,Medium,In Progress,Pending customer verification.,Chaitaly Vaidya,In-person,1
T00118,C0450,A8318,,Thomas LLC Branch,KYC Update Required,Customer reported kyc update required.,2023-08-05,2023-08-25,Medium,In Progress,Refund processed.,Gabriel Mutti,Phone,4
T00119,C0343,A0716,119,"Long, Chavez and Whitehead Branch",Interest Rate Dispute,Customer reported interest rate dispute.,2023-01-26,2023-02-10,Medium,Resolved,Refund processed.,Aarnav Sangha,Mobile App,2
T00120,C0222,A6027,,Knight Ltd Branch,Online Transfer Failed,System detected online transfer failed.,2018-02-28,2018-03-17,Medium,In Progress,Refund processed.,Vansha Sood,Phone,3
T00121,C0114,A0855,,"Parker, Torres and Ingram Branch",EMI Auto-debit Failed,Client raised emi auto-debit failed.,2021-03-21,,Low,Resolved,Issue resolved successfully.,Kashvi Doctor,Phone,3
T00122,C0475,A7362,,Navarro-Moore Branch,Account Access Issue,System detected account access issue.,2016-01-11,,High,Open,Card replaced and activated.,Leena Apte,Mobile App,5
T00123,C0330,A6127,163,Smith Inc Branch,Interest Rate Dispute,Client raised interest rate dispute.,2015-12-01,2015-12-02,High,In Progress,Pending customer verification.,Leena Apte,In-person,4
T00124,C0332,A2274,,"Smith, Mcdonald and Johnson Branch",Card Not Working,System detected card not working.,2015-01-22,,Medium,In Progress,Loan schedule updated.,Ekapad Jhaveri,Mobile App,1
T00125,C0252,A4721,309,Richardson and Sons Branch,UPI Payment Failed,Customer reported upi payment failed.,2015-07-15,2015-08-05,Low,Escalated,Loan schedule updated.,Falguni Bhandari,Email,5
T00126,C0131,A9422,,"Solomon, Williams and White Branch",Interest Rate Dispute,Customer reported interest rate dispute.,2018-04-08,2018-04-28,Critical,In Progress,KYC documents verified.,Gaurika Pillay,Email,5
T00127,C0035,A5909,,Lewis-Travis Branch,Online Transfer Failed,Customer reported online transfer failed.,2021-02-06,2021-02-23,Critical,Escalated,Issue resolved successfully.,Wriddhish Sarraf,Mobile App,3
T00128,C0122,A4156,83,Wolf-Harmon Branch,Loan Foreclosure,Client raised loan foreclosure.,2015-10-04,2015-10-28,Low,Closed,KYC documents verified.,Kashvi Doctor,In-person,2
T00129,C0189,A0727,,Douglas and Sons Branch,Loan Foreclosure,System detected loan foreclosure.,2022-03-17,2022-04-11,Critical,In Progress,Refund processed.,Ranveer Roy,Email,4
T00130,C0282,A0606,393,Jackson-Smith Branch,Interest Rate Dispute,Client raised interest rate dispute.,2023-11-15,2023-11-17,Critical,Closed,Card replaced and activated.,Wishi Chhabra,Email,2
T00131,C0464,A4688,,Brennan PLC Branch,Interest Rate Dispute,System detected interest rate dispute.,2015-07-15,,Low,Resolved,Card replaced and activated.,Triya Mukhopadhyay,Mobile App,4
T00132,C0481,A6335,,Shepard Ltd Branch,Account Closure Request,Client raised account closure request.,2020-07-25,2020-08-06,High,Open,KYC documents verified.,Lavanya Hans,Email,4
T00133,C0466,A9871,,Harris Ltd Branch,Loan Foreclosure,System detected loan foreclosure.,2018-08-08,2018-08-19,High,Escalated,Loan schedule updated.,Gabriel Mutti,Mobile App,2
T00134,C0351,A7273,,"Taylor, Mckay and Orozco Branch",Interest Rate Dispute,Client raised interest rate dispute.,2023-02-25,,Critical,Resolved,KYC documents verified.,Aarnav Sangha,Email,1
T00135,C0295,A6656,,"Humphrey, Mitchell and Buck Branch",Unauthorized Transaction,Client raised unauthorized transaction.,2023-05-30,2023-05-31,Critical,Open,Pending customer verification.,Chaitaly Vaidya,Phone,3
T00136,C0172,A5934,,Russell LLC Branch,Account Frozen,System detected account frozen.,2015-05-13,2015-06-04,High,Escalated,Refund processed.,Chaitaly Vaidya,Phone,5
T00137,C0285,A6013,182,"Owens, Hanson and Vincent Branch",Card Not Working,System detected card not working.,2018-02-15,2018-02-19,Critical,Closed,Issue resolved successfully.,Wishi Chhabra,In-person,4
T00138,C0494,A3516,,Hess-Miller Branch,Mismatch in Account Statement,Customer reported mismatch in account statement.,2020-07-04,2020-07-09,Critical,In Progress,KYC documents verified.,Bhavya Dutta,Email,3
T00139,C0447,A5693,,"Rodriguez, Cabrera and Alvarez Branch",Mismatch in Account Statement,Customer reported mismatch in account statement.,2018-04-04,,Medium,Resolved,Loan schedule updated.,Harish Anne,Email,2
T00140,C0219,A2276,,Murray LLC Branch,Interest Rate Dispute,System detected interest rate dispute.,2015-04-18,2015-05-07,Medium,Closed,Issue resolved successfully.,Chaitaly Vaidya,In-person,4
T00141,C0278,A7843,,"Long, Chavez and Whitehead Branch",Loan Foreclosure,Customer reported loan foreclosure.,2021-06-12,2021-06-23,Critical,Escalated,KYC documents verified.,Udyati Mody,In-person,2
T00142,C0437,A9033,,Morgan Inc Branch,Mismatch in Account Statement,Customer reported mismatch in account statement.,2016-06-12,2016-07-12,Low,Closed,Pending customer verification.,Rehaan Balakrishnan,Phone,2
T00143,C0283,A5287,354,Patterson LLC Branch,EMI Auto-debit Failed,Client raised emi auto-debit failed.,2020-10-26,,High,In Progress,KYC documents verified.,Rehaan Balakrishnan,Email,5
T00144,C0059,A2763,225,Berry-Cabrera Branch,Interest Rate Dispute,Client raised interest rate dispute.,2022-01-01,2022-01-21,Low,Open,Issue resolved successfully.,Leena Apte,In-person,2
